Software Package,Version,URL
torch,2.0.1,https://github.com/pytorch/pytorch
torchvision,0.15.2,https://pypi.org/project/torchvision/0.15.2/
torchaudio,2.0.2,https://pypi.org/project/torchaudio/2.0.2/
torchmetrics,0.9.3,https://pypi.org/project/torchmetrics/0.9.3/
pytorch-lightning,2.1.3,https://github.com/Lightning-AI/pytorch-lightning
gradio,4.43,https://github.com/gradio-app/gradio
gradio_client,1.13.0,https://pypi.org/project/gradio-client/1.13.0/
transformers,4.28.0,https://github.com/huggingface/transformers
scikit-learn,1.4.0,https://github.com/scikit-learn/scikit-learn
tabulate,0.9.0,https://pypi.org/project/tabulate/
biopython,1.83,https://github.com/biopython/biopython
easydict,1.13,https://github.com/makinacorpus/easydict
lmdb,1.4.1,https://github.com/jnwatson/py-lmdb/
multiprocess,0.70.18,https://github.com/uqfoundation/multiprocess
pyspellchecker,0.8.2,https://github.com/barrust/pyspellchecker
